date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-10-26 12:45:00,122.295,122.295,121.755,121.79,1248110.0,2023-10-26 12:45:00
2023-10-26 12:30:00,122.27,122.35,122.05,122.29,1006474.0,2023-10-26 12:30:00
2023-10-26 12:15:00,122.44,122.44,122.04,122.275,1219820.0,2023-10-26 12:15:00
2023-10-26 12:00:00,122.745,122.97,122.14,122.45,1249956.0,2023-10-26 12:00:00
2023-10-26 11:45:00,122.525,123.075,122.5,122.75,1141377.0,2023-10-26 11:45:00
2023-10-26 11:30:00,123.16,123.36,122.43,122.51,1349539.0,2023-10-26 11:30:00
2023-10-26 11:15:00,122.93,123.46,122.801,123.16,1429637.0,2023-10-26 11:15:00
2023-10-26 11:00:00,123.507,123.58,122.75,122.92,1727380.0,2023-10-26 11:00:00
2023-10-26 10:45:00,122.87,123.9,122.8,123.49,2481297.0,2023-10-26 10:45:00
2023-10-26 10:30:00,122.51,122.89,121.94,122.88,1849556.0,2023-10-26 10:30:00
2023-10-26 10:15:00,121.35,122.72,121.27,122.5,2770562.0,2023-10-26 10:15:00
